field_season	plot	date_collected	species	sex	weight_g	calibrated_correctly
2014	2	2014-01-08	pf	F	7	yes
2014	2	2014-02-18	pf	F	7	yes
2014	3	2015-03-11	pf	M	8	yes
2014	3	2015-06-09	ot	F	29	yes
2013	4	2013-07-18	dm	F	29	yes
2013	3	2013-10-17	do	F	33	yes
2013	7	2013-06-16	dm	M	33	yes
2014	4	1978-01-08	ol	M	35	yes
2014	1	2014-01-09	dm	F	36	yes
2014	4	1978-01-08	dm	F	37	yes
2013	6	2013-07-18	dm	F	37	yes
2013	9	2013-12-10	do	F	40	yes
2014	1	2014-01-09	dm	M	40	yes
2013	3	2013-07-18	dm	M	40	yes
2013	8	2013-12-11	do	F	41	yes
2014	1	2014-03-13	dm	F	44	yes
2014	2	2014-01-08	dm	M	44	yes
2014	2	2014-01-08	dm	M	45	yes
2013	1	2013-12-10	do	M	45	yes
2014	4	1978-01-08	dm	F	48	yes
2013	7	2013-07-18	dm	M	48	yes
2013	3	2013-10-17	do	F	50	yes
2014	1	2014-03-13	dm	F	51	yes
2013	8	2013-08-19	do	F	52	yes
2014	2	2014-02-18	dm	M	52	yes
2014	4	1978-01-08	do	M	52	yes
2013	4	2013-11-13	ds	F	107	yes
2013	14	2013-11-13	ds	F	113	no
2014	3	2015-07-08	na	F	115	yes
2013	4	2013-11-13	ds	F	115	yes
2013	9	2013-11-12	ds	F	117	yes
2013	11	2013-11-13	ds	F	122	yes
2013	11	2013-11-13	ds	F	126	yes
2013	17	2013-11-13	ds	M	132	no
2014	1	2014-03-13	ds	F	146	yes
2014	2	2014-01-08	ds	M	157	no
2014	3	2015-05-18	na	F	182	yes
2014	3	2015-07-08	na	M	190	yes
2014	2	2014-02-18	na	M	218	no
2014	3	2015-04-08	na	F	null	yes
2013	2	2013-07-16	dm	F	null	yes
2014	4	1978-01-08	dm	M	null	yes
2013	3	2013-07-16	dm	M	null	yes
2013	1	2013-07-16	dm	M	null	yes
2014	2	2014-01-08	na	null	null	yes
2014	2	2014-01-08	ot	null	null	yes
2014	2	2014-01-08	ox	null	null	yes
2014	3	2015-05-06	null	null	null	yes
